[Id: IcQAzkgbU1u25v03xSfK739lYLY8udnt] 2023/05/23 17:10:47 logger.go:23:  Time: 2023-05-23T17:10:47+07:00 Remote_IP: ::1 Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36 Edg/113.0.1774.50 Host: localhost:8080 Method: OPTIONS Uri: /api/auth/signup Status: 204 Latency: 2.1006ms Bytes_in: 0 Bytes_out: 0

[Id: CHmoBtaksKncjgh7kt3LQE7Z5DJyPKkE] 2023/05/23 17:10:47 logger.go:23:  Time: 2023-05-23T17:10:47+07:00 Remote_IP: ::1 Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36 Edg/113.0.1774.50 Host: localhost:8080 Method: POST Uri: /api/auth/signup Status: 500 Latency: 107.7554ms Bytes_in: 41 Bytes_out: 91

[Id: zZeajyl8N9noOEM0ix5gWgRGIBHgiEOB] 2023/05/23 17:12:13 logger.go:23:  Time: 2023-05-23T17:12:13+07:00 Remote_IP: ::1 Agent: PostmanRuntime/7.32.2 Host: localhost:8080 Method: POST Uri: /api/auth/signin Status: 404 Latency: 177.9159ms Bytes_in: 57 Bytes_out: 58

[Id: hpAf8zke6PeIFBvLkmf7g8PO2Lr8gHgg] 2023/05/23 17:13:40 logger.go:23:  Time: 2023-05-23T17:13:40+07:00 Remote_IP: ::1 Agent: PostmanRuntime/7.32.2 Host: localhost:8080 Method: POST Uri: /api/auth/signin Status: 200 Latency: 150.1069ms Bytes_in: 57 Bytes_out: 384

[Id: 4g8dfSRssoB5VXZNYzHRZL04DILhHMS8] 2023/05/23 17:14:16 logger.go:23:  Time: 2023-05-23T17:14:16+07:00 Remote_IP: ::1 Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36 Edg/113.0.1774.50 Host: localhost:8080 Method: OPTIONS Uri: /api/auth/signin Status: 204 Latency: 19.6634ms Bytes_in: 0 Bytes_out: 0

[Id: djtGnVQFVGmuG3iImGAnMyHFtLNoOOZh] 2023/05/23 17:14:16 logger.go:23:  Time: 2023-05-23T17:14:16+07:00 Remote_IP: ::1 Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36 Edg/113.0.1774.50 Host: localhost:8080 Method: POST Uri: /api/auth/signin Status: 200 Latency: 171.7122ms Bytes_in: 41 Bytes_out: 384

